time,Ar,Ar+,e,rate_constant0,rate_constant1,reduced_field
1.96e-07,2.5e+19,36581.934577968,36581.934577968,2.1386114073406e-12,1e-25,30
1.961e-07,2.5e+19,36778.572263099,36778.572263099,2.1386114073406e-12,1e-25,30
1.962e-07,2.5e+19,36976.266928392,36976.266928392,2.1386114073406e-12,1e-25,30
1.963e-07,2.5e+19,37175.024255399,37175.024255399,2.1386114073406e-12,1e-25,30
1.964e-07,2.5e+19,37374.849956209,37374.849956209,2.1386114073406e-12,1e-25,30
1.965e-07,2.5e+19,37575.74977362,37575.74977362,2.1386114073406e-12,1e-25,30
1.966e-07,2.5e+19,37777.729481293,37777.729481293,2.1386114073406e-12,1e-25,30
1.967e-07,2.5e+19,37980.794883929,37980.794883929,2.1386114073406e-12,1e-25,30
1.968e-07,2.5e+19,38184.951817428,38184.951817428,2.1386114073406e-12,1e-25,30
1.969e-07,2.5e+19,38390.206149061,38390.206149061,2.1386114073406e-12,1e-25,30
1.97e-07,2.5e+19,38596.563777636,38596.563777636,2.1386114073406e-12,1e-25,30
1.971e-07,2.5e+19,38804.03063367,38804.03063367,2.1386114073406e-12,1e-25,30
1.972e-07,2.5e+19,39012.612679556,39012.612679556,2.1386114073406e-12,1e-25,30
1.973e-07,2.5e+19,39222.315909738,39222.315909738,2.1386114073406e-12,1e-25,30
1.974e-07,2.5e+19,39433.146350883,39433.146350883,2.1386114073406e-12,1e-25,30
1.975e-07,2.5e+19,39645.11006205,39645.11006205,2.1386114073406e-12,1e-25,30
1.976e-07,2.5e+19,39858.213134869,39858.213134869,2.1386114073406e-12,1e-25,30
1.977e-07,2.5e+19,40072.461693714,40072.461693714,2.1386114073406e-12,1e-25,30
1.978e-07,2.5e+19,40287.861895878,40287.861895878,2.1386114073406e-12,1e-25,30
1.979e-07,2.5e+19,40504.419931752,40504.419931752,2.1386114073406e-12,1e-25,30
1.98e-07,2.5e+19,40722.142025002,40722.142025002,2.1386114073406e-12,1e-25,30
1.981e-07,2.5e+19,40941.034432749,40941.034432749,2.1386114073406e-12,1e-25,30
1.982e-07,2.5e+19,41161.103445745,41161.103445745,2.1386114073406e-12,1e-25,30
1.983e-07,2.5e+19,41382.355388558,41382.355388558,2.1386114073406e-12,1e-25,30
1.984e-07,2.5e+19,41604.796619753,41604.796619753,2.1386114073406e-12,1e-25,30
1.985e-07,2.5e+19,41828.433532073,41828.433532073,2.1386114073406e-12,1e-25,30
1.986e-07,2.5e+19,42053.272552623,42053.272552623,2.1386114073406e-12,1e-25,30
1.987e-07,2.5e+19,42279.320143058,42279.320143058,2.1386114073406e-12,1e-25,30
1.988e-07,2.5e+19,42506.582799763,42506.582799763,2.1386114073406e-12,1e-25,30
1.989e-07,2.5e+19,42735.067054044,42735.067054044,2.1386114073406e-12,1e-25,30
1.99e-07,2.5e+19,42964.779472316,42964.779472316,2.1386114073406e-12,1e-25,30
1.991e-07,2.5e+19,43195.726656289,43195.726656289,2.1386114073406e-12,1e-25,30
1.992e-07,2.5e+19,43427.915243157,43427.915243157,2.1386114073406e-12,1e-25,30
1.993e-07,2.5e+19,43661.351905795,43661.351905795,2.1386114073406e-12,1e-25,30
1.994e-07,2.5e+19,43896.043352942,43896.043352942,2.1386114073406e-12,1e-25,30
1.995e-07,2.5e+19,44131.996329402,44131.996329402,2.1386114073406e-12,1e-25,30
1.996e-07,2.5e+19,44369.217616232,44369.217616232,2.1386114073406e-12,1e-25,30
1.997e-07,2.5e+19,44607.71403094,44607.71403094,2.1386114073406e-12,1e-25,30
1.998e-07,2.5e+19,44847.492427678,44847.492427678,2.1386114073406e-12,1e-25,30
1.999e-07,2.5e+19,45088.559697444,45088.559697444,2.1386114073406e-12,1e-25,30
2e-07,2.5e+19,45330.922768274,45330.922768274,2.1386114073406e-12,1e-25,30
